('house_example2', 'random', 'OLS', 'SalePrice', None, 'DS -> LC -> ZSB -> ED -> OLS', 'MSE', ({'quality_metric': 6317708755.670739}, 0.23083901405334473))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'ZS -> LOF -> ED -> MARS', 'MSE', ({'quality_metric': 0.13312076846292015}, 6.6108620166778564))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.28273987770080566))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.025905132293701172))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 6.424494028091431))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 103.36526608467102))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.16513609886169434))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.10658717155456543))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 111.8735921382904)
('house_example2', 'learn2clean', 'HCA', 'SaleCondition', None, 'ZSB -> ED -> HCA', 'silhouette', 0.966, 30.927449941635132)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 5.410442113876343)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'LC -> ZSB -> LASSO', 'MSE', ({'quality_metric': 2049346686.1620877}, 0.1620020866394043))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'MM -> Tree -> ZSB -> ED -> OLS', 'MSE', ({'quality_metric': 4135129829.0395145}, 0.21369600296020508))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'DS -> Tree -> MARS', 'MSE', ({'quality_metric': 0.1389822793663789}, 14.751476049423218))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.3621037006378174))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.03300881385803223))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 7.653624057769775))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 131.3457932472229))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.1889030933380127))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.09366798400878906))
